"","site_id","longitude","latitude","year","month","total_tested","total_positive","borrelia_detected"
"1","ABBY",-122.330317,45.762439,2021,6,26,0,0
"2","ABBY",-122.330317,45.762439,2021,7,18,0,0
"3","ABBY",-122.330317,45.762439,2021,8,27,0,0
"4","ABBY",-122.330317,45.762439,2021,9,13,0,0
"5","ABBY",-122.330317,45.762439,2022,6,16,0,0
"6","ABBY",-122.330317,45.762439,2022,8,8,0,0
"7","ABBY",-122.330317,45.762439,2022,9,6,0,0
"8","ABBY",-122.330317,45.762439,2023,6,14,0,0
"9","ABBY",-122.330317,45.762439,2023,7,6,0,0
"10","ABBY",-122.330317,45.762439,2023,9,17,0,0
"11","BART",-71.287375,44.063889,2021,7,105,10,1
"12","BART",-71.287375,44.063889,2021,8,55,4,1
"13","BART",-71.287375,44.063889,2021,9,91,1,1
"14","BART",-71.287375,44.063889,2022,6,62,0,0
"15","BART",-71.287375,44.063889,2022,7,4,0,0
"16","BART",-71.287375,44.063889,2022,8,40,3,1
"17","BART",-71.287375,44.063889,2022,9,63,0,0
"18","BART",-71.287375,44.063889,2023,6,14,0,0
"19","BART",-71.287375,44.063889,2023,7,62,0,0
"20","BART",-71.287375,44.063889,2023,8,81,1,1
"21","BART",-71.287375,44.063889,2023,9,7,0,0
"22","BLAN",-78.041788,39.033698,2021,6,12,0,0
"23","BLAN",-78.041788,39.033698,2021,7,13,1,1
"24","BLAN",-78.041788,39.033698,2021,9,9,0,0
"25","BLAN",-78.041788,39.033698,2022,4,6,0,0
"26","BLAN",-78.041788,39.033698,2022,6,42,6,1
"27","BLAN",-78.041788,39.033698,2022,8,30,4,1
"28","BLAN",-78.041788,39.033698,2022,9,3,0,0
"29","BLAN",-78.041788,39.033698,2023,3,3,0,0
"30","BLAN",-78.041788,39.033698,2023,5,3,1,1
"31","BLAN",-78.041788,39.033698,2023,7,8,1,1
"32","BLAN",-78.041788,39.033698,2023,9,21,7,1
"33","CLBJ",-97.57,33.40123,2023,3,4,0,0
"34","CLBJ",-97.57,33.40123,2023,9,5,0,0
"35","CPER",-104.74559,40.815536,2022,7,1,0,0
"36","CPER",-104.74559,40.815536,2022,10,2,0,0
"37","CPER",-104.74559,40.815536,2023,10,1,0,0
"38","DCFS",-99.10656,47.16165,2022,5,10,0,0
"39","DCFS",-99.10656,47.16165,2022,7,36,0,0
"40","DCFS",-99.10656,47.16165,2022,8,44,0,0
"41","DCFS",-99.10656,47.16165,2023,5,4,0,0
"42","DCFS",-99.10656,47.16165,2023,6,54,0,0
"43","DCFS",-99.10656,47.16165,2023,7,75,0,0
"44","DCFS",-99.10656,47.16165,2023,9,26,0,0
"45","DELA",-87.803877,32.541727,2021,7,3,0,0
"46","DELA",-87.803877,32.541727,2021,8,2,1,1
"47","DELA",-87.803877,32.541727,2021,9,2,0,0
"48","DELA",-87.803877,32.541727,2022,6,5,0,0
"49","DELA",-87.803877,32.541727,2022,7,20,0,0
"50","DELA",-87.803877,32.541727,2022,8,11,0,0
"51","DELA",-87.803877,32.541727,2023,6,8,0,0
"52","DELA",-87.803877,32.541727,2023,7,6,0,0
"53","DELA",-87.803877,32.541727,2023,8,13,0,0
"54","DELA",-87.803877,32.541727,2023,9,5,0,0
"55","DSNY",-81.43619,28.12505,2021,10,1,0,0
"56","DSNY",-81.43619,28.12505,2022,4,12,0,0
"57","DSNY",-81.43619,28.12505,2022,5,5,0,0
"58","DSNY",-81.43619,28.12505,2022,9,10,0,0
"59","GRSM",-83.50195,35.68896,2021,6,67,0,0
"60","GRSM",-83.50195,35.68896,2021,10,74,0,0
"61","GRSM",-83.50195,35.68896,2022,5,12,0,0
"62","GRSM",-83.50195,35.68896,2022,7,8,0,0
"63","GRSM",-83.50195,35.68896,2023,5,6,0,0
"64","GRSM",-83.50195,35.68896,2023,7,1,0,0
"65","GRSM",-83.50195,35.68896,2023,8,6,0,0
"66","HARV",-72.17265,42.53691,2021,5,9,0,0
"67","HARV",-72.17265,42.53691,2021,6,45,4,1
"68","HARV",-72.17265,42.53691,2021,7,60,13,1
"69","HARV",-72.17265,42.53691,2021,8,179,16,1
"70","HARV",-72.17265,42.53691,2021,9,71,3,1
"71","HARV",-72.17265,42.53691,2021,10,7,1,1
"72","HARV",-72.17265,42.53691,2022,5,16,0,0
"73","HARV",-72.17265,42.53691,2022,6,112,6,1
"74","HARV",-72.17265,42.53691,2022,7,84,4,1
"75","HARV",-72.17265,42.53691,2022,8,83,5,1
"76","HARV",-72.17265,42.53691,2022,9,28,2,1
"77","HARV",-72.17265,42.53691,2023,6,2,0,0
"78","HARV",-72.17265,42.53691,2023,7,11,10,1
"79","HARV",-72.17265,42.53691,2023,9,1,0,0
"80","JERC",-84.468623,31.194839,2021,8,33,0,0
"81","JERC",-84.468623,31.194839,2022,6,57,4,1
"82","JERC",-84.468623,31.194839,2022,7,54,1,1
"83","JERC",-84.468623,31.194839,2022,8,33,0,0
"84","JERC",-84.468623,31.194839,2022,9,2,0,0
"85","JERC",-84.468623,31.194839,2023,5,72,7,1
"86","JERC",-84.468623,31.194839,2023,10,46,3,1
"87","JERC",-84.468623,31.194839,2023,11,53,1,1
"88","KONA",-96.612935,39.110446,2021,6,70,1,1
"89","KONA",-96.612935,39.110446,2021,8,51,0,0
"90","KONA",-96.612935,39.110446,2021,10,53,0,0
"91","KONA",-96.612935,39.110446,2022,5,3,0,0
"92","KONA",-96.612935,39.110446,2022,6,23,0,0
"93","KONA",-96.612935,39.110446,2022,7,25,0,0
"94","KONA",-96.612935,39.110446,2022,9,39,1,1
"95","KONA",-96.612935,39.110446,2023,4,2,0,0
"96","KONA",-96.612935,39.110446,2023,6,41,0,0
"97","KONA",-96.612935,39.110446,2023,7,44,0,0
"98","KONA",-96.612935,39.110446,2023,9,52,0,0
"99","KONZ",-96.563075,39.100774,2021,7,39,0,0
"100","KONZ",-96.563075,39.100774,2021,8,72,1,1
"101","KONZ",-96.563075,39.100774,2021,9,59,1,1
"102","KONZ",-96.563075,39.100774,2021,10,15,0,0
"103","KONZ",-96.563075,39.100774,2022,6,39,0,0
"104","KONZ",-96.563075,39.100774,2022,7,73,0,0
"105","KONZ",-96.563075,39.100774,2022,8,86,0,0
"106","KONZ",-96.563075,39.100774,2022,9,111,1,1
"107","KONZ",-96.563075,39.100774,2023,5,24,0,0
"108","KONZ",-96.563075,39.100774,2023,6,59,2,1
"109","KONZ",-96.563075,39.100774,2023,7,37,6,1
"110","KONZ",-96.563075,39.100774,2023,9,84,5,1
"111","LENO",-88.161181,31.853861,2021,7,1,0,0
"112","MLBS",-80.524847,37.378314,2021,5,23,1,1
"113","MLBS",-80.524847,37.378314,2021,7,36,3,1
"114","MLBS",-80.524847,37.378314,2021,9,37,1,1
"115","MLBS",-80.524847,37.378314,2022,4,28,3,1
"116","MLBS",-80.524847,37.378314,2022,6,23,0,0
"117","MLBS",-80.524847,37.378314,2022,8,65,2,1
"118","MLBS",-80.524847,37.378314,2022,9,34,0,0
"119","MLBS",-80.524847,37.378314,2023,4,11,0,0
"120","MLBS",-80.524847,37.378314,2023,6,55,3,1
"121","MLBS",-80.524847,37.378314,2023,8,57,6,1
"122","MLBS",-80.524847,37.378314,2023,9,16,0,0
"123","MOAB",-109.38827,38.248283,2022,4,1,0,0
"124","MOAB",-109.38827,38.248283,2022,6,8,0,0
"125","MOAB",-109.38827,38.248283,2022,7,4,0,0
"126","NIWO",-105.58237,40.05425,2021,8,2,0,0
"127","NIWO",-105.58237,40.05425,2021,9,4,0,0
"128","NIWO",-105.58237,40.05425,2022,7,3,0,0
"129","NIWO",-105.58237,40.05425,2022,8,8,0,0
"130","NIWO",-105.58237,40.05425,2022,9,13,0,0
"131","NIWO",-105.58237,40.05425,2023,6,5,0,0
"132","NIWO",-105.58237,40.05425,2023,8,11,0,0
"133","NIWO",-105.58237,40.05425,2023,9,10,0,0
"134","NOGP",-100.91535,46.76972,2021,6,1,0,0
"135","NOGP",-100.91535,46.76972,2021,7,11,0,0
"136","NOGP",-100.91535,46.76972,2021,8,22,0,0
"137","NOGP",-100.91535,46.76972,2021,9,8,0,0
"138","NOGP",-100.91535,46.76972,2022,6,43,0,0
"139","NOGP",-100.91535,46.76972,2022,8,47,0,0
"140","NOGP",-100.91535,46.76972,2022,9,15,0,0
"141","NOGP",-100.91535,46.76972,2023,6,11,0,0
"142","NOGP",-100.91535,46.76972,2023,7,34,0,0
"143","NOGP",-100.91535,46.76972,2023,8,60,0,0
"144","NOGP",-100.91535,46.76972,2023,9,84,0,0
"145","OAES",-99.058779,35.410599,2021,7,6,0,0
"146","OAES",-99.058779,35.410599,2021,8,2,0,0
"147","OAES",-99.058779,35.410599,2021,9,1,0,0
"148","OAES",-99.058779,35.410599,2022,6,2,0,0
"149","OAES",-99.058779,35.410599,2022,8,4,1,1
"150","OAES",-99.058779,35.410599,2022,9,14,0,0
"151","OAES",-99.058779,35.410599,2023,5,1,0,0
"152","OAES",-99.058779,35.410599,2023,6,3,0,0
"153","OAES",-99.058779,35.410599,2023,8,10,0,0
"154","OAES",-99.058779,35.410599,2023,9,2,1,1
"155","ONAQ",-112.45245,40.177599,2022,6,5,0,0
"156","ONAQ",-112.45245,40.177599,2022,7,12,0,0
"157","ONAQ",-112.45245,40.177599,2022,8,13,0,0
"158","ORNL",-84.282588,35.964128,2021,5,14,0,0
"159","ORNL",-84.282588,35.964128,2021,8,53,9,1
"160","ORNL",-84.282588,35.964128,2021,9,14,0,0
"161","ORNL",-84.282588,35.964128,2021,11,9,1,1
"162","ORNL",-84.282588,35.964128,2022,5,36,4,1
"163","ORNL",-84.282588,35.964128,2022,6,6,0,0
"164","ORNL",-84.282588,35.964128,2022,7,13,2,1
"165","ORNL",-84.282588,35.964128,2022,9,20,2,1
"166","ORNL",-84.282588,35.964128,2022,10,3,0,0
"167","ORNL",-84.282588,35.964128,2023,3,4,0,0
"168","ORNL",-84.282588,35.964128,2023,6,46,4,1
"169","ORNL",-84.282588,35.964128,2023,9,17,2,1
"170","ORNL",-84.282588,35.964128,2023,10,9,0,0
"171","OSBS",-81.993431,29.689282,2021,5,38,0,0
"172","OSBS",-81.993431,29.689282,2021,6,31,1,1
"173","OSBS",-81.993431,29.689282,2021,7,4,0,0
"174","OSBS",-81.993431,29.689282,2021,8,19,0,0
"175","OSBS",-81.993431,29.689282,2021,9,22,0,0
"176","OSBS",-81.993431,29.689282,2022,5,30,0,0
"177","OSBS",-81.993431,29.689282,2022,7,44,0,0
"178","OSBS",-81.993431,29.689282,2022,8,24,0,0
"179","OSBS",-81.993431,29.689282,2022,9,2,0,0
"180","OSBS",-81.993431,29.689282,2023,4,10,0,0
"181","OSBS",-81.993431,29.689282,2023,6,13,0,0
"182","OSBS",-81.993431,29.689282,2023,7,20,0,0
"183","OSBS",-81.993431,29.689282,2023,9,13,1,1
"184","RMNP",-105.54596,40.275903,2021,6,3,0,0
"185","RMNP",-105.54596,40.275903,2021,7,3,0,0
"186","RMNP",-105.54596,40.275903,2021,8,3,0,0
"187","RMNP",-105.54596,40.275903,2021,9,3,0,0
"188","RMNP",-105.54596,40.275903,2021,10,9,0,0
"189","RMNP",-105.54596,40.275903,2022,6,19,0,0
"190","RMNP",-105.54596,40.275903,2022,8,9,1,1
"191","RMNP",-105.54596,40.275903,2022,9,13,1,1
"192","RMNP",-105.54596,40.275903,2023,6,6,0,0
"193","RMNP",-105.54596,40.275903,2023,7,7,1,1
"194","RMNP",-105.54596,40.275903,2023,8,7,0,0
"195","RMNP",-105.54596,40.275903,2023,9,39,0,0
"196","SCBI",-78.139494,38.892925,2021,5,14,1,1
"197","SCBI",-78.139494,38.892925,2021,6,15,4,1
"198","SCBI",-78.139494,38.892925,2021,8,41,10,1
"199","SCBI",-78.139494,38.892925,2021,9,43,7,1
"200","SCBI",-78.139494,38.892925,2022,3,3,0,0
"201","SCBI",-78.139494,38.892925,2022,4,25,2,1
"202","SCBI",-78.139494,38.892925,2022,7,32,3,1
"203","SCBI",-78.139494,38.892925,2022,8,39,3,1
"204","SCBI",-78.139494,38.892925,2022,9,11,0,0
"205","SCBI",-78.139494,38.892925,2023,3,13,0,0
"206","SCBI",-78.139494,38.892925,2023,5,36,13,1
"207","SCBI",-78.139494,38.892925,2023,7,36,19,1
"208","SCBI",-78.139494,38.892925,2023,8,22,5,1
"209","SERC",-76.560014,38.890131,2021,5,19,4,1
"210","SERC",-76.560014,38.890131,2021,7,36,10,1
"211","SERC",-76.560014,38.890131,2021,8,39,2,1
"212","SERC",-76.560014,38.890131,2021,10,16,1,1
"213","SERC",-76.560014,38.890131,2022,5,17,2,1
"214","SERC",-76.560014,38.890131,2022,7,35,9,1
"215","SERC",-76.560014,38.890131,2022,8,21,3,1
"216","SERC",-76.560014,38.890131,2022,10,10,0,0
"217","SERC",-76.560014,38.890131,2023,4,2,0,0
"218","SERC",-76.560014,38.890131,2023,5,3,0,0
"219","SERC",-76.560014,38.890131,2023,6,13,7,1
"220","SERC",-76.560014,38.890131,2023,8,24,8,1
"221","SERC",-76.560014,38.890131,2023,9,24,7,1
"222","SJER",-119.73228,37.10878,2021,11,4,0,0
"223","SJER",-119.73228,37.10878,2022,3,21,0,0
"224","SJER",-119.73228,37.10878,2022,4,14,0,0
"225","SJER",-119.73228,37.10878,2022,10,2,0,0
"226","SJER",-119.73228,37.10878,2022,12,1,0,0
"227","SJER",-119.73228,37.10878,2023,3,10,0,0
"228","SJER",-119.73228,37.10878,2023,4,16,0,0
"229","SJER",-119.73228,37.10878,2023,11,28,0,0
"230","SOAP",-119.26219,37.03337,2021,9,4,0,0
"231","SOAP",-119.26219,37.03337,2021,10,8,0,0
"232","SOAP",-119.26219,37.03337,2022,5,7,0,0
"233","SOAP",-119.26219,37.03337,2022,6,23,0,0
"234","SOAP",-119.26219,37.03337,2022,7,3,0,0
"235","SOAP",-119.26219,37.03337,2022,8,17,0,0
"236","SRER",-110.83549,31.91068,2023,5,12,0,0
"237","SRER",-110.83549,31.91068,2023,6,4,1,1
"238","SRER",-110.83549,31.91068,2023,7,4,0,0
"239","SRER",-110.83549,31.91068,2023,11,6,0,0
"240","STEI",-89.58637,45.50894,2021,6,25,1,1
"241","STEI",-89.58637,45.50894,2021,7,36,5,1
"242","STEI",-89.58637,45.50894,2021,8,29,3,1
"243","STEI",-89.58637,45.50894,2021,9,13,0,0
"244","STEI",-89.58637,45.50894,2022,5,1,0,0
"245","STEI",-89.58637,45.50894,2022,6,23,2,1
"246","STEI",-89.58637,45.50894,2022,7,54,3,1
"247","STEI",-89.58637,45.50894,2022,8,83,2,1
"248","STEI",-89.58637,45.50894,2022,9,27,0,0
"249","STEI",-89.58637,45.50894,2023,6,38,0,0
"250","STEI",-89.58637,45.50894,2023,7,34,2,1
"251","STEI",-89.58637,45.50894,2023,8,87,3,1
"252","STEI",-89.58637,45.50894,2023,9,27,0,0
"253","STER",-103.02929,40.461894,2021,5,5,0,0
"254","STER",-103.02929,40.461894,2021,7,3,0,0
"255","STER",-103.02929,40.461894,2021,8,5,0,0
"256","STER",-103.02929,40.461894,2021,9,13,0,0
"257","STER",-103.02929,40.461894,2022,6,1,0,0
"258","STER",-103.02929,40.461894,2023,4,3,0,0
"259","STER",-103.02929,40.461894,2023,7,11,0,0
"260","STER",-103.02929,40.461894,2023,9,5,0,0
"261","STER",-103.02929,40.461894,2023,10,13,0,0
"262","TALL",-87.393259,32.95047,2021,5,10,0,0
"263","TALL",-87.393259,32.95047,2021,6,31,1,1
"264","TALL",-87.393259,32.95047,2021,8,12,0,0
"265","TALL",-87.393259,32.95047,2021,10,12,0,0
"266","TALL",-87.393259,32.95047,2022,3,4,0,0
"267","TALL",-87.393259,32.95047,2022,4,11,0,0
"268","TALL",-87.393259,32.95047,2022,6,1,0,0
"269","TALL",-87.393259,32.95047,2022,9,1,0,0
"270","TALL",-87.393259,32.95047,2023,4,1,0,0
"271","TALL",-87.393259,32.95047,2023,5,28,0,0
"272","TALL",-87.393259,32.95047,2023,6,40,0,0
"273","TALL",-87.393259,32.95047,2023,9,23,0,0
"274","TEAK",-119.00602,37.00583,2021,7,6,1,1
"275","TEAK",-119.00602,37.00583,2022,6,2,0,0
"276","TEAK",-119.00602,37.00583,2022,7,38,0,0
"277","TEAK",-119.00602,37.00583,2022,8,35,0,0
"278","TEAK",-119.00602,37.00583,2023,7,7,0,0
"279","TEAK",-119.00602,37.00583,2023,8,16,0,0
"280","TEAK",-119.00602,37.00583,2023,9,21,1,1
"281","TREE",-89.58571,45.49369,2021,6,17,2,1
"282","TREE",-89.58571,45.49369,2021,7,44,18,1
"283","TREE",-89.58571,45.49369,2021,8,35,9,1
"284","TREE",-89.58571,45.49369,2021,9,62,7,1
"285","TREE",-89.58571,45.49369,2022,6,4,1,1
"286","TREE",-89.58571,45.49369,2022,7,11,1,1
"287","TREE",-89.58571,45.49369,2022,8,23,1,1
"288","TREE",-89.58571,45.49369,2022,9,39,6,1
"289","TREE",-89.58571,45.49369,2023,6,3,3,1
"290","TREE",-89.58571,45.49369,2023,7,37,16,1
"291","TREE",-89.58571,45.49369,2023,8,41,6,1
"292","TREE",-89.58571,45.49369,2023,9,61,3,1
"293","UKFS",-95.19215,39.040431,2021,7,31,0,0
"294","UKFS",-95.19215,39.040431,2021,8,53,1,1
"295","UKFS",-95.19215,39.040431,2021,9,29,0,0
"296","UKFS",-95.19215,39.040431,2022,6,38,0,0
"297","UKFS",-95.19215,39.040431,2022,7,2,0,0
"298","UKFS",-95.19215,39.040431,2022,8,45,0,0
"299","UKFS",-95.19215,39.040431,2022,9,5,0,0
"300","UKFS",-95.19215,39.040431,2023,6,7,0,0
"301","UKFS",-95.19215,39.040431,2023,7,40,2,1
"302","UKFS",-95.19215,39.040431,2023,9,19,4,1
"303","UKFS",-95.19215,39.040431,2023,10,31,4,1
"304","UNDE",-89.537254,46.23391,2021,7,31,3,1
"305","UNDE",-89.537254,46.23391,2021,8,39,1,1
"306","UNDE",-89.537254,46.23391,2021,9,23,1,1
"307","UNDE",-89.537254,46.23391,2022,5,15,0,0
"308","UNDE",-89.537254,46.23391,2022,6,20,0,0
"309","UNDE",-89.537254,46.23391,2022,7,98,5,1
"310","UNDE",-89.537254,46.23391,2022,8,95,0,0
"311","UNDE",-89.537254,46.23391,2023,5,6,0,0
"312","UNDE",-89.537254,46.23391,2023,6,25,1,1
"313","UNDE",-89.537254,46.23391,2023,7,27,1,1
"314","UNDE",-89.537254,46.23391,2023,9,17,1,1
"315","WOOD",-99.241334,47.1282,2021,4,3,0,0
"316","WOOD",-99.241334,47.1282,2021,5,2,0,0
"317","WOOD",-99.241334,47.1282,2021,8,12,0,0
"318","WOOD",-99.241334,47.1282,2021,9,31,1,1
"319","WOOD",-99.241334,47.1282,2021,10,2,0,0
"320","WOOD",-99.241334,47.1282,2022,5,1,0,0
"321","WOOD",-99.241334,47.1282,2022,6,31,0,0
"322","WOOD",-99.241334,47.1282,2022,7,52,0,0
"323","WOOD",-99.241334,47.1282,2022,8,12,0,0
"324","WOOD",-99.241334,47.1282,2022,9,10,0,0
"325","WOOD",-99.241334,47.1282,2023,5,7,0,0
"326","WOOD",-99.241334,47.1282,2023,6,2,0,0
"327","WOOD",-99.241334,47.1282,2023,7,73,2,1
"328","WOOD",-99.241334,47.1282,2023,8,15,0,0
"329","WOOD",-99.241334,47.1282,2023,9,63,2,1
"330","WREF",-121.95191,45.82049,2021,5,2,0,0
"331","WREF",-121.95191,45.82049,2021,6,34,0,0
"332","WREF",-121.95191,45.82049,2021,7,13,0,0
"333","WREF",-121.95191,45.82049,2021,8,14,0,0
"334","WREF",-121.95191,45.82049,2021,9,11,0,0
"335","WREF",-121.95191,45.82049,2022,6,10,0,0
"336","WREF",-121.95191,45.82049,2022,7,10,0,0
"337","WREF",-121.95191,45.82049,2022,8,6,0,0
"338","WREF",-121.95191,45.82049,2022,9,2,0,0
"339","WREF",-121.95191,45.82049,2023,5,8,0,0
"340","WREF",-121.95191,45.82049,2023,6,10,0,0
"341","WREF",-121.95191,45.82049,2023,7,10,0,0
"342","WREF",-121.95191,45.82049,2023,9,9,0,0
