isl_order,isl.id,easting_NAD83UTMz15_centroid,northing_NAD83UTMz15_centroid,easting,northing,length_m,area_m2,area,actual_perimeter,theoretical_perimeter,P.ratio,size_class,island_set,plant_rich,hab_amount_500,hab_amount_1000,hab_amount_2500,hab_amount_5000,isolation_100,isolation_250,isolation_500,isolation_1000,isolation_2500,isolation_5000,Geology_UnitName,Geology_RockType,SRS,BRS,BS,SM,IM,SS,TS,CW,DW,MW,CF,DF,MF,RO,hab_rich,hab_shannon,hab_simpson,woodland.hab,mixed.tree.hab,decid.tree.hab,tree.hab,meadow.hab,shrub.hab,rock.hab,shore.hab,Abies balsamea,Acer negundo,Acer rubrum,Acer spicatum,Achillea millefolium,Actaea rubra,Agalinis tenuifolia,Agrostis scabra,Alnus incana,Alnus viridis,Alopecurus aequalis,Ambrosia artemisiifolia,Amelanchier sanguinea,Anaphalis margaritacea,Anemone canadensis,Antennaria neglecta,Antennaria parvifolia,Anthoxanthum hirtum,Apocynum androsaemifolium,Apocynum cannibanum,Aquilegia canadensis,Aralia hispida,Aralia nudicaulis,Arctostaphylos uva-ursi,Astralagus canadensis,Athyrium filix-femina,Barbarea orthoceras,Betula papyrifera,Bidens cernua,Bidens connata,Bidens frondosa,Boechera grahamii,Boechera stricta,Botrypus virginianus,Bromus ciliatus,Calamagrostis canadensis,Calystegia sepium,Campanula rotundifolia,Capnoides sempervirens,Cardamine parviflora,Cardamine pensylvanica,Carex aquatilis,Carex atherodes,Carex backii,Carex brunnescens,Carex intumescens,Carex lasiocarpa,Carex peckii,Carex pellita,Carex pensylvanica,Carex siccata,Carex sp. 10,Carex sp. 11,Carex sp. 12,Carex sp. 14,Carex sp. 15,Carex sp. 17,Carex sp. 4,Carex sp. 6,Carex sp. 8,Carex stricta,Carex trisperma,Celastrus scandens,Cerastium arvense,Cerastium fontanum,Chenopodium album,Chenopodium berlandierii,Chenopodium simplex,Chimaphila umbellata,Cinna latifolia,Circaea lutetiana,Cirsium arvense,Cirsium vulgare,Collomia linearis,Commandra umbellata,Conyza canadensis,Cornus alba,Cornus canadensis,Cornus rugosa,Corydalis aurea,Corylus cornuta,Crataegus sp. 1,Cuscuta pentagona,Cyperaceae sp. 1,Cyperus odoratus,Cyperus squarrosus ,Cypripedium acaule,Danthonia spicata,Dendrolycopodium dendroideum,Dicentra cucullaria,Dichanthelium acuminatum,Diervilla lonicera,Dracocephalum parviflorum,Drymocallis arguta,Dryopteris carthusiana,Echinochloa walteri,Eleocharis acicularis,Eleocharis palustris,Elymus trachycaulis,Epilobium angustifolium,Epilobium ciliatum,Equisetum arvense,Equisetum sylvaticum,Eriegeron strigosus,Erigeron philadelphicus,Erysimum cheiranthoides,Eupatorium perfoliatum,Eurybia macrophylla,Euthamia graminifolia,Fallopia cilinodis,Fallopia scandens,Fragaria virginiana,Fraxinus nigra,Fraxinus pensylvanica,Galeopsis tetrahit,Galium aparine,Galium boreale,Galium trifidum,Galium triflorum,Geranium bicknellii,Geum aleppicum,Geum canadense,Glyceria borealis,Glycyrrhiza lepidota,Gymnocarpium dryopteris,Hackelia deflexa,Heracleum maximum,Heuchera richardsonii,Hieracium scabrum,Hieracium umbellatum,Houstonia longifolia,Hypercium majus,Impatiens capensis,Juncus balticus,Juncus dudleyi,Juncus interior,Juniperus communis,Juniperus horizontalis,Lactuca biennis,Lactuca canadensis,Lactuca ludoviciana,Lathyrus ochroleucus,Lathyrus palustris,Lonicera canadensis,Lonicera dioica,Lycopus americanus,Lycopus asper,Lysimachia ciliata,Lysmachia terrestris ,Maianthemum canadense,Maianthemum racemosum,Maianthemum stellatum,Matteuccia struthiopteris,Mentha arvensis,Mitella nuda,Moehringia laterifolia,Muhlenbergia sylvatica,Myosotis sp. 1,Oenothera oakesiana,Oenthothera biennis,Oryzopsis asperifolia,Osmorhiza longistylis,Oxalis stricta,Panicum capillare,Parthenocissus quinquefolia,Penstemon sp. 1,Persicaria amphibia,Persicaria lapathifolia,Persicaria punctata,Persicaria sagittata,Phalaris arundinaceae,Phragmites australis,Picea glauca,Pinus banksiana,Pinus resinosa,Pinus strobus,Piptatherum pungens,Plantago major,Poa glauca,Poa inteior,Poa palustris,Poa pratensis,Poaceae sp. 5 ,Polygonatum pubescens,Polygonum douglasii,Polypodium virginianum,Populus tremuloides,Portulaca oleracea,Potentilla norveigica,Potentilla rivalis,Prunus pensylvanica,Prunus virginiana,Pteridium aquilinum,Pyrola asarifolia,Quercus macrocarpa,Ranunculus abortivus,Ranunculus flammula,Ranunculus macounii,Ranunculus pensylvanicus,Rhus glabra,Ribes americanum,Ribes glandulosum,Ribes hirtellum,Ribes sp. 1,Ribes triste,Rorippa palustris,Rosa acicularis,Rosa blanda,Rosa woodsii,Rubus idaeus,Rubus pubescens,Rumex fueginus,Rumex triangulivalvis,Sagittaria rigida,Salix amygdaloides,Salix bebbiana,Salix discolor,Salix eriocephala,Salix humilis,Salix interior,Salix petiolaris,Salix planifolia,Salix serissima,Salix sp. 3,Salix sp. 5,Sambucus racemosa,Schizachne purparescens,Schoenoplectus acutus,Schoenoplectus heterochaetus,Schoenoplectus pungens,Schoenoplectus tabernaemontani,Scirpus cyperinus,Scutellaria galericulata,Scutellaria laterifolia,Selaginella rupestris,Sibbaldia tridentata,Silene antirrhina,Sium suave ,Smilax herbacea,Solanum ptychanthum,Solidago gigantea,Solidago nemoralis,Sonchus asper,Sorbus  aucuparia,Sorbus decora,Sparangium eurycarpum,Spirea alba,Stachys arenicola,Stachys pilosa,Stellaria longifolia,Strophostyles leiosperma,Symphoricarpos albus,Symphyotrichum ciliolatum,Symphyotrichum lanceolatum,Taraxacum officinale,Taxus canadensis,Thuja occidentalis,Tilia americana,Toxicodendron rydbergii,Trientalis borealis,Trillium cernuum,Triodanis perfoliata,Typha latifolia,Ulmus americana,Urtica dioica,Uvularia sessilifolia,Vaccinium angustifolium,Vaccinium caespitosum,Vaccinium myrtilloides,Verbascum thapsus,Verbena hastata,Veronica peregrina,Viburnum lentago,Viburnum rafinesquianum,Vicia americana,Viola canadensis,Viola novae-angliae,Viola sp. 1,Woodsia ilvensis,Xanthium strumarium,Ziziana palustris
1,812,419512,5445942,419512,5445942,115,851,0.0851,115,103.4117081,1.112059766,0.1,small,47,0.060063,0.159501,0.383972,0.494193,0.9994128,0.976278,0.9391527,0.8429512,0.6131599,0.505436617,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,35,0,0,10,15,5,30,0,5,0,0,0,0,0,6,4.678742229,4,5,0,5,5,5,35,0,35,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,707,416447,5444826,416447,5444826,112,906,0.0906,112,106.7011329,1.049660833,0.1,small,4,0.033708,0.110572,0.269153,0.344385,0.9988221,0.9997769,0.960628,0.8893364,0.7297673,0.654637521,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,97.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,2,1.124014722,1.051248357,0,0,0,0,0,0,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,543,392055,5442638,392055,5442638,125,934,0.0934,125,108.3373903,1.153802945,0.1,small,29,0.032689,0.008175,0.154188,0.229772,0.9971082,0.9638154,0.9696171,0.9923761,0.8422862,0.769915244,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,90,0,0,0,2.5,0,7.5,0,0,0,0,0,0,0,3,1.464210937,1.225114855,0,0,0,0,0,7.5,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1218,404819,5451529,404819,5451529,149,972,0.0972,149,110.5192844,1.348181006,0.1,small,17,0.001814,0.077673,0.270049,0.369954,0.9983553,0.9996761,0.9992988,0.918732,0.7292887,0.629208175,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,75,0,0,20,0,5,0,0,0,0,0,0,0,0,3,1.988609698,1.652892562,0,0,0,0,0,5,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,177,401010,5435434,401010,5435434,130,984,0.0984,130,111.1994095,1.169070956,0.1,small,20,0.132794,0.308074,0.481681,0.521651,0.9977273,0.996378,0.8544651,0.688861,0.5179846,0.478041705,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,80,0,0,0,0,15,5,0,0,0,0,0,0,0,3,1.845720013,1.503759398,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1314,404526,5453090,404526,5453090,120,989,0.0989,120,111.4815703,1.076411102,0.1,small,64,0.350415,0.330417,0.31411,0.365752,0.9982649,0.7468733,0.654714,0.6707345,0.6861004,0.633169396,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,10,2.5,0,7.5,0,5,0,5,0,0,70,0,0,0,6,2.903730301,1.95599022,0,0,0,0,0,5,0,12.5,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
7,730,418703,5445047,418703,5445047,134,1051,0.1051,134,114.9228241,1.165999888,0.1,small,55,0.058726,0.123706,0.340744,0.445988,0.9988745,0.9888427,0.9388788,0.8710972,0.6568085,0.553116421,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,15,5,0,5,1,10,24,0,40,0,0,0,0,0,7,4.804128509,3.918495298,40,0,40,40,40,34,0,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
8,992,404862,5447991,404862,5447991,131,1070,0.107,131,115.9569599,1.129729515,0.1,small,34,0.079607,0.107356,0.186811,0.258605,0.9954828,0.8941086,0.9240439,0.8922135,0.8123017,0.740720833,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,70,0,0,2.5,2.5,5,10,0,10,0,0,0,0,0,6,2.841750017,1.946472019,10,0,10,10,10,15,0,70,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
9,736,419841,5445119,419841,5445119,183,1932,0.1932,183,155.8147233,1.174471809,0.2,small,63,0.031352,0.149297,0.397982,0.499406,0.9994898,0.9998958,0.9561305,0.8447248,0.6002664,0.499673928,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,20,5,0,10,5,5,50,0,5,0,0,0,0,0,7,4.472135955,3.225806452,5,0,5,5,5,55,0,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10,967,396893,5447893,396893,5447893,171,1962,0.1962,171,157.0198049,1.089034598,0.2,small,37,0.068912,0.041599,0.216369,0.308754,0.9969136,0.9993719,0.9337659,0.9581018,0.7805155,0.690567733,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,0,15,0,0,0,0,0,0,0,5,80,0,0,0,3,1.845720013,1.503759398,5,5,0,5,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,1292,405344,5452705,405344,5452705,181,2037,0.2037,181,159.9928027,1.13130089,0.2,small,57,0.229525,0.279649,0.315586,0.423358,1,0.9331401,0.7656161,0.7252461,0.6845197,0.575460619,Gneissic tonalite suite,Tonalite to granodiorite-foliated to gneissic-with minor su0.1racrustal inclusions,14,1,0,15,5,25,0,37.5,0,0,0,0,0,2.5,7,4.769629647,4.024954719,0,0,0,0,0,25,2.5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0
12,1196,403354,5450922,403354,5450922,196,2132,0.2132,196,163.6810988,1.197450417,0.2,small,63,0.034854,0.120609,0.272968,0.323751,0.9995007,0.9951596,0.9629123,0.8733021,0.7273405,0.676656257,Foliated tonalite suite,Tonalite to granodiorite-foliated to massive,25,5,0,10,0,5,20,0,15,15,0,0,0,5,8,6.801992055,6.060606061,30,15,15,30,15,25,5,30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
